order_id,order_date,state,category,item,gender,size,is_subscriber,quantity,total_amount,review,age,payment_type
164,2024-09-24,Colima,Tops,"Tank Top",Male,M,0,1,89.25,5,50,"Debit Card"
165,2024-09-01,"Estado de México",Swimwear,"Swim Shorts",Female,XL,1,1,150.55,2,22,"Debit Card"
166,2024-05-23,"Quintana Roo",Swimwear,"Swim Shorts",Female,S,1,1,150.55,4,27,Cash
167,2021-05-25,Nayarit,Bottoms,"Utility Pants",Male,L,0,1,160.00,1,28,"Credit Card"
168,2021-04-09,Veracruz,Bottoms,"Cargo Pants",Female,XL,1,1,250.75,5,55,"Debit Card"
169,2022-07-04,"Estado de México",Bottoms,"Cargo Pants",Male,M,1,1,250.75,1,27,"Credit Card"
170,2021-11-17,Chiapas,Swimwear,"Swim Shorts",Male,L,1,1,150.55,4,43,PayPal
171,2024-09-26,Chihuahua,Accessories,"Messenger Bag",Male,M,1,1,650.75,1,20,PayPal
172,2022-11-27,Tlaxcala,Activewear,Joggers,Male,XL,0,1,345.10,5,39,"Debit Card"
173,2024-10-26,"Estado de México",Swimwear,"Rash Guard",Female,XL,0,1,180.90,4,22,PayPal
174,2024-10-23,Guanajuato,Outerwear,Hoodie,Male,M,1,1,275.45,2,31,"Debit Card"
175,2023-09-08,Colima,Accessories,Cap,Male,XL,0,1,99.40,1,25,"Debit Card"
176,2021-03-05,Nayarit,Bottoms,Jeans,Female,M,0,5,1499.95,3,16,"Debit Card"
177,2024-08-29,"Nuevo León",Activewear,"Compression Top",Male,L,0,1,250.55,5,47,PayPal
178,2024-06-19,Puebla,Outerwear,Jacket,Male,M,0,1,480.90,5,32,"Debit Card"
179,2022-12-07,"Ciudad de México",Tops,T-Shirt,Female,XL,0,1,99.99,5,29,PayPal
180,2021-10-07,"Ciudad de México",Activewear,Joggers,Male,XL,0,1,345.10,5,21,Cash
181,2024-10-09,Oaxaca,Outerwear,Hoodie,Male,XL,0,1,275.45,5,30,PayPal
182,2022-04-20,"San Luis Potosí",Shoes,Boots,Female,XL,0,1,890.99,4,24,"Debit Card"
183,2023-05-09,Chiapas,Accessories,Belt,Male,L,0,1,120.60,5,27,"Debit Card"
184,2022-11-18,"Quintana Roo","One-Piece Outfits",Tunic,Female,XL,0,1,340.20,2,25,Cash
185,2022-12-29,Puebla,Shoes,Sandals,Female,S,0,1,210.25,4,30,"Credit Card"
186,2023-08-15,"Ciudad de México",Accessories,"Messenger Bag",Female,L,0,1,650.75,5,49,"Credit Card"
187,2021-10-28,Campeche,Activewear,"Running Shorts",Female,S,0,1,180.30,5,26,"Debit Card"
188,2023-03-02,"Quintana Roo",Tops,"Tank Top",Female,L,0,1,89.25,5,25,"Credit Card"
189,2023-09-04,Durango,Tops,"Tank Top",Female,XL,0,1,89.25,3,15,PayPal
190,2023-09-25,"Quintana Roo",Activewear,"Running Shorts",Male,L,0,1,180.30,5,28,"Debit Card"
191,2023-07-03,Yucatán,Outerwear,Blazer,Male,L,0,1,520.30,1,58,Cash
192,2021-03-12,Sinaloa,Accessories,Backpack,Female,S,0,1,540.90,1,18,"Credit Card"
193,2022-02-12,Puebla,Bottoms,Shorts,Female,XL,0,1,145.60,3,27,"Credit Card"
194,2024-08-18,Hidalgo,Accessories,Belt,Male,S,0,1,120.60,5,25,PayPal
195,2024-04-27,"Ciudad de México",Bottoms,Jeans,Female,S,1,1,299.99,3,25,"Debit Card"
196,2023-12-17,Chihuahua,Activewear,Joggers,Female,S,0,1,345.10,5,58,PayPal
197,2022-12-27,"Quintana Roo",Accessories,"Messenger Bag",Female,L,0,1,650.75,1,42,"Credit Card"
198,2023-04-01,Aguascalientes,Tops,"Tank Top",Male,L,0,1,89.25,5,27,"Credit Card"
199,2022-11-05,"Estado de México",Tops,"Button-Up Shirt",Female,M,0,1,220.40,5,23,"Debit Card"
200,2024-10-23,Jalisco,Accessories,Backpack,Non-specified,M,0,1,540.90,4,32,PayPal
201,2024-10-03,"Baja California",Outerwear,Blazer,Female,M,1,1,520.30,5,27,"Credit Card"
202,2022-02-08,Colima,Accessories,Cap,Male,XL,1,1,99.40,1,45,"Debit Card"
203,2024-11-24,"Estado de México",Activewear,"Track Jacket",Female,S,0,1,420.60,1,25,"Debit Card"
204,2021-12-22,"San Luis Potosí",Shoes,Slip-Ons,Female,M,0,1,750.00,5,51,Cash
205,2022-06-19,Yucatán,Bottoms,"Cargo Pants",Male,S,0,1,250.75,1,32,"Debit Card"
206,2022-06-25,"Ciudad de México",Bottoms,Jeans,Female,XL,1,1,299.99,3,42,"Credit Card"
207,2024-06-28,Morelos,Swimwear,"Swim Shorts",Female,M,0,1,150.55,4,22,"Bank Transfer"
208,2022-12-25,"Estado de México",Accessories,Scarf,Female,L,1,1,140.80,2,18,"Credit Card"
209,2024-03-28,Sonora,Bottoms,Shorts,Male,M,0,1,145.60,3,39,"Bank Transfer"
210,2023-01-13,Sonora,Tops,"Polo Shirt",Female,M,0,1,135.50,1,34,PayPal
211,2024-04-20,"Ciudad de México",Accessories,Backpack,Male,S,1,1,540.90,1,25,"Debit Card"
212,2022-07-13,Hidalgo,Activewear,"Track Jacket",Female,S,1,1,420.60,5,24,"Debit Card"
213,2023-05-03,Tabasco,Swimwear,"Swim Shorts",Male,L,0,1,150.55,4,23,PayPal
214,2024-04-12,Chiapas,Accessories,Belt,Non-specified,M,0,1,120.60,5,37,"Debit Card"
215,2023-08-07,Sonora,Accessories,"Messenger Bag",Male,L,0,5,3253.75,1,21,PayPal
216,2024-03-02,"San Luis Potosí",Tops,"Polo Shirt",Female,S,0,1,135.50,4,17,"Credit Card"
217,2021-07-30,Guanajuato,Outerwear,Hoodie,Female,M,1,1,275.45,5,19,PayPal
218,2024-08-26,"Ciudad de México",Bottoms,Jeans,Male,XL,0,1,299.99,1,23,"Credit Card"
219,2024-02-16,Morelos,Shoes,Sneakers,Non-specified,L,0,1,599.50,4,50,"Debit Card"
220,2024-01-28,Nayarit,Bottoms,Jeans,Female,L,0,1,299.99,2,25,"Debit Card"
221,2021-03-21,Jalisco,Bottoms,Jeans,Female,M,0,1,299.99,4,60,"Credit Card"
222,2021-10-19,"Ciudad de México",Tops,T-Shirt,Female,S,0,1,99.99,5,48,Cash
223,2021-11-08,Jalisco,Activewear,Joggers,Male,M,1,1,345.10,5,31,Cash
224,2022-11-21,"Baja California Sur",Shoes,Sandals,Female,S,0,1,210.25,5,39,PayPal
225,2023-12-28,Coahuila,"One-Piece Outfits",Tunic,Female,L,0,1,340.20,3,43,"Debit Card"
226,2021-08-28,Guanajuato,Outerwear,Hoodie,Male,M,0,1,275.45,3,17,"Credit Card"
227,2024-07-10,Colima,Swimwear,"Swim Shorts",Male,M,1,1,150.55,4,19,Cash
228,2021-07-21,Veracruz,"One-Piece Outfits",Tunic,Female,S,0,1,340.20,3,42,"Credit Card"
229,2023-12-11,Michoacán,Shoes,Sneakers,Male,XL,0,1,599.50,1,24,"Bank Transfer"
230,2024-06-08,Veracruz,Accessories,Cap,Male,S,0,1,99.40,5,38,Cash
231,2021-07-06,Campeche,Shoes,Boots,Male,S,1,1,890.99,4,44,"Debit Card"
232,2024-11-22,"Estado de México",Accessories,Belt,Female,S,0,1,120.60,1,20,"Debit Card"
233,2024-09-20,Guanajuato,Activewear,"Running Shorts",Female,XL,0,1,180.30,4,24,"Credit Card"
234,2021-06-10,Michoacán,Outerwear,Coat,Male,L,0,1,650.00,5,24,"Credit Card"
235,2021-07-29,Campeche,Shoes,Boots,Female,M,0,1,890.99,4,43,PayPal
236,2022-03-05,Zacatecas,Shoes,Boots,Male,M,0,1,890.99,4,61,Cash
237,2021-07-20,"Baja California Sur",Outerwear,Coat,Female,M,0,1,650.00,5,47,"Debit Card"
238,2021-03-17,Colima,Swimwear,"Rash Guard",Male,XL,0,1,180.90,4,25,"Debit Card"
239,2021-11-02,Guanajuato,Outerwear,Hoodie,Male,S,0,1,275.45,2,35,"Debit Card"
240,2021-01-18,"Estado de México",Shoes,Sneakers,Female,XL,1,1,599.50,4,50,"Credit Card"
241,2022-05-25,Hidalgo,Bottoms,"Utility Pants",Female,XL,0,1,160.00,3,27,Cash
242,2024-03-25,"Estado de México",Outerwear,Hoodie,Male,S,0,1,275.45,5,23,PayPal
243,2022-08-16,Colima,Bottoms,Jeans,Male,M,0,1,299.99,3,21,Cash
244,2021-06-26,Veracruz,Activewear,"Compression Top",Male,M,1,1,250.55,4,40,"Debit Card"
245,2021-05-30,Michoacán,"One-Piece Outfits",Jumpsuit,Male,M,0,1,899.99,5,42,"Credit Card"
246,2023-05-19,Tamaulipas,Accessories,Belt,Female,L,1,1,120.60,5,34,PayPal
247,2022-02-11,Tlaxcala,"One-Piece Outfits",Jumpsuit,Male,M,1,2,1799.98,5,27,Cash
248,2022-07-15,Hidalgo,Shoes,Slip-Ons,Female,M,0,1,750.00,5,20,"Credit Card"
249,2021-04-13,Veracruz,Shoes,Sandals,Female,S,0,1,210.25,4,50,PayPal
250,2024-06-23,"Ciudad de México",Tops,"Tank Top",Female,L,0,1,89.25,4,47,"Debit Card"
251,2024-05-07,Coahuila,Shoes,Boots,Female,M,1,5,4454.95,4,24,Cash
252,2023-09-21,Tamaulipas,Swimwear,"Swim Shorts",Female,S,0,1,150.55,5,26,"Bank Transfer"
253,2021-11-16,"Estado de México",Bottoms,Shorts,Male,M,1,1,145.60,3,38,"Credit Card"
254,2023-08-10,"Baja California",Activewear,"Training Pants",Male,L,0,1,310.70,5,35,"Credit Card"
255,2023-03-16,Chiapas,Activewear,"Training Pants",Female,XL,0,2,621.40,5,38,Cash
256,2024-10-17,Tabasco,Outerwear,Hoodie,Male,L,1,1,275.45,2,33,"Debit Card"
257,2022-08-12,Jalisco,Bottoms,Jeans,Female,L,0,1,299.99,3,23,PayPal
258,2024-03-23,Sonora,Outerwear,Hoodie,Male,L,0,1,275.45,5,26,"Debit Card"
259,2022-09-23,Veracruz,Tops,"Tank Top",Female,S,0,1,89.25,5,32,"Credit Card"
260,2024-09-06,Tlaxcala,Activewear,"Running Shorts",Female,S,1,1,180.30,5,25,Cash
261,2023-01-26,Zacatecas,Outerwear,Coat,Male,M,0,1,650.00,5,25,PayPal
262,2023-01-24,Guerrero,Outerwear,Blazer,Male,M,0,1,520.30,5,41,"Debit Card"
263,2022-06-11,"San Luis Potosí",Outerwear,Jacket,Male,S,1,1,480.90,5,42,"Debit Card"
264,2021-08-06,Sonora,"One-Piece Outfits",Rompers,Male,XL,1,1,720.10,2,45,"Debit Card"
265,2023-06-11,Michoacán,Activewear,"Compression Top",Male,L,0,1,250.55,5,21,Cash
266,2023-03-07,Oaxaca,Shoes,Sneakers,Female,M,0,1,599.50,4,18,Cash
